,metrics,AUC,AUC_scaled
0,scaled/hvg/STACAS,23.666584420291574,0.36231505000288355
1,scaled/hvg/combat,13.024093822131737,0.649071937452751
2,scaled/hvg/fastmnn,19.49167181288456,0.4748061002540577
3,scaled/hvg/harmony,18.745264093195924,0.4949177040644923
4,scaled/hvg/scanorama,19.965325540135794,0.46204372406938177
5,scaled/hvg/scgen,16.574652589859173,0.5534038068069602
6,scaled/hvg/semiSupSTACAS,23.99741508906807,0.3534009737369662
7,scaled/hvg/seurat,24.569114256638432,0.33799680942617005
8,scaled/hvg/seuratrpca,23.95873454955709,0.35444320262246487
9,unscaled/hvg/STACAS,22.00525020999537,0.4070789163896573
10,unscaled/hvg/combat,17.723080275030533,0.5224599647219188
11,unscaled/hvg/fastmnn,18.206422914844143,0.5094365253600162
12,unscaled/hvg/harmony,17.8483529628778,0.5190845512584789
13,unscaled/hvg/scanorama,19.263311922026105,0.480959149760372
14,unscaled/hvg/scanvi,16.41088352271469,0.5578164870458359
15,unscaled/hvg/scgen,15.71465201920552,0.5765761163872376
16,unscaled/hvg/scvi,15.83071265396273,0.5734489173475514
17,unscaled/hvg/semiSupSTACAS,22.268812801338772,0.39997734672936347
18,unscaled/hvg/seurat,22.762150350961395,0.38668459923881005
19,unscaled/hvg/seuratrpca,21.92928407217207,0.4091257881282674
