,metrics,AUC,AUC_scaled
0,scaled/hvg/STACAS,23.865228506925277,0.35696267881984
1,scaled/hvg/combat,18.309290399217964,0.5066648095321502
2,scaled/hvg/fastmnn,19.56900983115858,0.47272226384403226
3,scaled/hvg/harmony,18.505603950624067,0.5013752335211386
4,scaled/hvg/scanorama,19.941235724328422,0.4626928127893998
5,scaled/hvg/scgen,16.61788667344725,0.5522388848249189
6,scaled/hvg/semiSupSTACAS,23.96575219359629,0.3542541155151424
7,scaled/hvg/seurat,24.258210627446008,0.3463739610131775
8,scaled/hvg/seuratrpca,23.974409901250315,0.3540208376675915
9,unscaled/hvg/STACAS,22.181858477978373,0.40232028994243507
10,unscaled/hvg/combat,18.38365054915161,0.5046612103794326
11,unscaled/hvg/fastmnn,18.228820620077368,0.508833029760987
12,unscaled/hvg/harmony,17.86028225284408,0.5187631221692384
13,unscaled/hvg/scanorama,19.225605007242176,0.4819751447870104
14,unscaled/hvg/scanvi,16.427032558793147,0.5573813588887131
15,unscaled/hvg/scgen,16.29796749429691,0.5608589561515058
16,unscaled/hvg/scvi,15.828673504673652,0.5735038612629619
17,unscaled/hvg/semiSupSTACAS,22.014058755121177,0.4068415742976028
18,unscaled/hvg/seurat,22.183981287520993,0.40226309184096853
19,unscaled/hvg/seuratrpca,22.06685192207356,0.40541908732481624
