"","closestSubtypes"
"CD4_NaiveLike","Th1"
"CD8_EarlyActiv","CD8_EffectorMemory"
"CD8_EffectorMemory","CD8_Tex"
"CD8_NaiveLike","CD8_EarlyActiv"
"CD8_Tex","CD8_Tpex"
"CD8_Tpex","CD8_Tex"
"Tfh","Th1"
"Th1","Treg"
"Treg","Th1"
